ip,finger,hash,name,race,background,date,class,justClass,subclass,level,feats,HP,AC,Str,Dex,Con,Int,Wis,Cha,alignment,skills,weapons,spells,castingStat,choices,country,countryCode,processedAlignment,good,lawful,processedRace,processedSpells,processedWeapons,levelGroup,alias
d4b8fb7,36c8173,10a3dfb8d0ac1a2d8080d81d8d9c36eb,50d23063,Passage,Sage,10/11/2020 22:53,Wizard 3,Wizard,War Magic,3,,15,13,15,16,13,12,11,8,,Arcana|History|Investigation|Medicine,Staff Of Fire|Shortbow,Thunderclap*0|Fire Bolt*0|Mage Hand*0|Light*0|Magic Missle*1|Mage Armor*1|Ice Knife*1,Int,,United States,US,,NA,NA,Human,Thunderclap*0|Fire Bolt*0|Mage Hand*0|Light*0|Magic Missile*1|Mage Armor*1|Ice Knife*1,|Shortbow,3-Jan,thirsty_ritchie
763bdbe,9.22E+29,464b928fcef6d626db4a84e74567d88b,1ab39fe6,Human,Sage,10/11/2020 15:25,Wizard 3,Wizard,School of Abjuration,3,,13,12,13,15,9,16,14,11,,Arcana|History|Investigation|Insight,Quarterstaff|Dagger,Fire Bolt*0|Ray Of Frost*0|Light*0|Magic Missile*1|Disguise Self*1|Shield*1|Charm Person*1|Burning Hands*1|Comprehend Languages*1|Mage Armour*1|Unseen Servant*1|Rope Trick*2|Spider Climb*2,Int,,United Kingdom,GB,,NA,NA,Human,Fire Bolt*0|Ray of Frost*0|Light*0|Magic Missile*1|Disguise Self*1|Shield*1|Charm Person*1|Burning Hands*1|Comprehend Languages*1|Mage Armor*1|Unseen Servant*1|Rope Trick*2|Spider Climb*2,Quarterstaff|Dagger,3-Jan,clever_elbakyan
b408934,8f4de93,94091c4c7f17192f9148d25beae6b706,d89bf548,Human,House Agent,10/5/2020 22:59,Rogue 3,Rogue,Inquisitive,3,,25,16,14,18,15,16,16,14,,Athletics|Stealth|Investigation|Insight|Deception|Persuasion,"Shortsword|Shortbow|Dagger|Crossbow, light|Longsword",,Int,expertise/Thieves' Tools*Deception,United States,US,,NA,NA,Human,,"Shortsword|Shortbow|Dagger|Crossbow, Light|Longsword",3-Jan,elegant_golick
,ae41239,2cfe111284936077b8dd3fc6714a53de,facc3803,Triton,Sailor,10/5/2020 0:53,Paladin 3,Paladin,Oath of Glory,3,,34,18,16,14,14,8,10,13,CG,Athletics|Insight|Perception|Intimidation,Trident|Javelin|Net,Guiding Bolt*1|Heroism*1,Cha,fighting style/Dueling,Canada,CA,CG,NA,NA,Triton,Guiding Bolt*1|Heroism*1,Trident|Javelin|Net,3-Jan,serene_pike
763bdbe,aa442ab,dde901c089bd96388b9e31569525066d,5ab520c7,Half-Elf,Acolyte,10/4/2020 18:52,Cleric 3,Cleric,Light Domain,3,,24,19,13,11,14,10,16,18,,Arcana|History|Religion|Insight|Medicine|Persuasion,"Mace|Crossbow, light",Light*0|Sacred Flame*0|Thaumaturgy*0|Burning Hands*1|Faerie Fire*1|Command*1|Create Or Destroy Water*1|Cure Wounds*1|Flaming Sphere*2|Scorching Ray*2|Find Traps*2|Hold Person*2|Spiritual Weapon*2,Wis,,United Kingdom,GB,,NA,NA,Half-Elf,Light*0|Sacred Flame*0|Thaumaturgy*0|Burning Hands*1|Faerie Fire*1|Command*1|Create or Destroy Water*1|Cure Wounds*1|Flaming Sphere*2|Scorching Ray*2|Find Traps*2|Hold Person*2|Spiritual Weapon*2,"Mace|Crossbow, Light",3-Jan,romantic_visvesvaraya
763bdbe,aa442ab,63335204e87052eff65e87a5ec1a7a46,225c5e40,Dragonborn,Soldier,10/4/2020 18:42,Paladin 3,Paladin,Oath of Devotion,3,,20,18,20,10,12,11,13,17,,Athletics|Religion|Medicine|Intimidation,Battleaxe|Javelin,Protection from Evil and Good*1|Sanctuary*1|Shield Of Faith*1|Divine Favour *1|Detect Poison And Disease *1|Thunderous Smite*1,Cha,fighting style/Dueling,United Kingdom,GB,,NA,NA,Dragonborn,Protection from Evil and Good*1|Sanctuary*1|Shield of Faith*1|Divine Favor*1|Detect Poison and Disease*1|Thunderous Smite*1,Battleaxe|Javelin,3-Jan,trusting_curie
4c1a528,c21f644,0c3ec7fd71b98dc40580918ddbeab923,ee060480,Hill Dwarf,Guild Member - Harmony,9/28/2020 5:19,Cleric 3,Cleric,Life Domain,3,,44,13,14,8,17,10,17,12,,Nature|Religion|Medicine|Persuasion,Warhammer|Handaxe,Sacred Flame*0|Spare The Dying*0|Thaumaturgy*0|Bless*1|Cure Wounds*1|Detect Evil And Good*1|Healing Word*1|Lesser Restoration*2|Spiritual Weapon*2|Zone Of Truth*2|Prayer Of Healing*2,Wis,,Canada,CA,,NA,NA,Dwarf,Sacred Flame*0|Spare the Dying*0|Thaumaturgy*0|Bless*1|Cure Wounds*1|Detect Evil and Good*1|Healing Word*1|Lesser Restoration*2|Spiritual Weapon*2|Zone of Truth*2|Prayer of Healing*2,Warhammer|Handaxe,3-Jan,thirsty_noyce
4c1a528,c21f644,8861ae1481ce9aa2627ec24535bb8b6a,088c511d,Mountain Dwarf,Custom,9/28/2020 5:17,Barbarian 3,Barbarian,Path of the Battlerager,3,,42,14,17,14,14,13,8,10,,Athletics|Perception|Survival|Deception,Greataxe|Handaxe|Javelin,,Int,,Canada,CA,,NA,NA,Dwarf,,Greataxe|Handaxe|Javelin,3-Jan,wonderful_sanderson
4c1a528,c21f644,189bfbea075410f4fa9a6d38cc640f01,0ec57987,Lightfoot Halfling,Custom,9/28/2020 5:16,Rogue 3,Rogue,Scout,3,,26,13,15,16,13,12,10,9,,Stealth|Nature|Insight|Survival|Persuasion,Shortsword|Dagger,,Int,expertise/Survival*Stealth,Canada,CA,,NA,NA,Halfling,,Shortsword|Dagger,3-Jan,zen_allen
4c1a528,c21f644,0decd92fc5b3d55ad301e8e9e297b558,329cebd1,Half-Elf,Custom,9/28/2020 5:11,Fighter 3,Fighter,Battle Master,3,,33,12,16,14,13,9,10,14,,Athletics|Perception|Survival|Deception|Intimidation|Persuasion,Greatsword,,Int,combat superiority maneuvers/Trip Attack*Evasive Footwork*Disarming Attack|fighting style/Great Weapon Fighting,Canada,CA,,NA,NA,Half-Elf,,Greatsword,3-Jan,zen_neumann
1e10764,3730946,c8d576cd9219f6b872ed4262cf2f0003,48f3bef0,Scourge Aasimar,Noble,9/25/2020 20:08,Fighter 3,Fighter,Samurai,3,,30,16,14,14,12,12,10,14,,Athletics|History|Perception|Persuasion,Rapier|Handaxe,,Int,fighting style/Dueling,United States,US,,NA,NA,Aasimar,,Rapier|Handaxe,3-Jan,trusting_varahamihira
ae97369,45c20af,69af138c5d6e27bd4b4b954040610e65,a30e6086,Ghost,Haunted One,9/22/2020 21:57,Rogue 3,Rogue,Swashbuckler,3,,16,14,10,15,12,10,12,16,L.N,Acrobatics|Stealth|Investigation|Perception|Survival|Deception,Rapier|Shortbow|Dagger,etherealness*0,Int,expertise/Stealth*Investigation,Canada,CA,LN,NA,NA,,*,Rapier|Shortbow|Dagger,3-Jan,modest_ptolemy
,5c5f677,59118709d884e131bcaa7da8bb8b38ef,8027f257,Half-Orc,Hermit,9/20/2020 23:55,Monk 3,Monk,Way of the Open Hand,3,,27,13,17,14,15,10,13,11,,Athletics|Acrobatics|Religion|Medicine|Intimidation,Unarmed strike|Dart|Unarmed strike,,Int,,Canada,CA,,NA,NA,Half-Orc,,Unarmed Strike|Dart|Unarmed Strike,3-Jan,crazy_brahmagupta
1ccd486,aed75b3,030f16b9c1821b98add12073602f80a8,2306e10c,Human,Criminal,9/20/2020 1:00,Fighter 3,Fighter,Battle Master,3,Durable,31,18,16,14,16,12,11,10,,Stealth|Animal Handling|Perception|Survival|Deception,Battleaxe|Handaxe,,Int,fighting style/Dueling|combat superiority maneuvers/Trip Attack*Parry*Disarming Attack,Brazil,BR,,NA,NA,Human,,Battleaxe|Handaxe,3-Jan,silly_tu
7be1f6c,5e20def,fa4538bac25e967541e2bf31d292fa36,7fb321e2,Lizardfolk,Custom,9/19/2020 8:29,Ranger 3,Ranger,Gloom Stalker,3,,28,16,15,17,14,11,14,11,Neutral Evil,Athletics|Sleight of Hand|Stealth|Investigation|Insight|Perception|Survival,Shortsword|Longbow,Disguise Self*1|Absorb Elements*1|Detect Poison And Disease*1,Wis,,United States,US,NE,NA,NA,Lizardfolk,Disguise Self*1|Absorb Elements*1|Detect Poison and Disease*1,Shortsword|Longbow,3-Jan,unruffled_shtern
,f87c756,76eaa3a63f6f432078905b19537aee86,c7b8c085,Human,Charlatan,9/18/2020 16:32,Fighter 3,Fighter,Gunslinger,3,Sharpshooter,25,15,8,16,13,10,15,12,Lawful Evil,Sleight of Hand|History|Insight|Perception|Deception,"""Herbs"" and ""Spices""|Cleaver",,Int,fighting style/Archery,Canada,CA,LE,NA,NA,Human,,|,3-Jan,suspicious_roentgen
777f173,01131f9,253e81cbca6a2f55c471280d681f16d9,349d514e,Changeling,Noble,9/13/2020 16:26,Barbarian 3,Barbarian,Path of the Zealot,3,,35,15,14,14,17,13,14,20,,Athletics|History|Perception|Deception|Intimidation|Persuasion,Lance|Handaxe|Javelin,,Int,,United States,US,,NA,NA,Changeling,,Lance|Handaxe|Javelin,3-Jan,stupefied_shockley
b523452,,4002ef8c443e7c35cf1d6397a1c8e27b,e29ed560,Lightfoot Halfling,Criminal,9/13/2020 8:35,Rogue 3,Rogue,Thief,3,,21,14,10,17,13,8,12,15,Chaotic Neutral,Sleight of Hand|Stealth|Insight|Perception|Deception|Persuasion,Shortsword|Shortbow|Dagger,,Int,expertise/Stealth*Perception,NA,NA,CN,NA,NA,Halfling,,Shortsword|Shortbow|Dagger,3-Jan,mystifying_noyce
aaa06f6,e762f71,231e5e950326c7cdc896d84dbc0e3e12,fa9e17e6,Turtle,Sage,9/11/2020 20:57,Rogue 3,Rogue,Inquisitive,3,,18,17,16,8,10,14,16,10,,Arcana|History|Investigation|Insight|Perception|Survival|Persuasion,Dagger (x12),,Int,expertise/Investigation*Insight,United States,US,,NA,NA,Turtle,,Dagger,3-Jan,nostalgic_engelbart
22b3b15,2ef8319,275aa9d4eed7aa00e3e12dfc3f6ac36c,63272a0a,Half-Elf,Criminal,9/11/2020 9:10,Sorcerer 3,Sorcerer,Draconic Bloodline,3,,25,13,10,10,14,12,15,16,,Stealth|Arcana|Insight|Deception|Persuasion,"Crossbow, light|Dagger",,Cha,metamagic/Subtle Spell*Distant Spell,United Kingdom,GB,,NA,NA,Half-Elf,,"Crossbow, Light|Dagger",3-Jan,gracious_clarke
29b3f04,65b414e,04660469f5f5eab210b6e499d0aa5df2,abff4d35,Deep Gnome,Sage,9/10/2020 2:02,Artificer 3,Artificer,Battle Smith,3,,24,12,8,14,14,18,11,7,,Arcana|History|Investigation|Nature,Dagger|Quarterstaff,Heroism*1|Shield*1,Int,,United States,US,,NA,NA,Gnome,Heroism*1|Shield*1,Dagger|Quarterstaff,3-Jan,vibrant_nobel
29b3f04,d5c6064,093f7e7e38345975b46bf0bce8c70b46,e8e547ac,Deep Gnome,Sage,9/9/2020 0:15,Wizard 3,Wizard,School of Illusion,3,,20,12,8,14,14,18,11,7,,Arcana|History|Investigation|Insight,Quarterstaff,,Int,,United States,US,,NA,NA,Gnome,,Quarterstaff,3-Jan,upbeat_panini
d9be058,,28d1a313d8732c30ce45dedd8b472c1b,97817a98,Aassling,-,8/28/2020 23:58,Warlock 3,Warlock,The Fiend,3,,18,14,11,17,13,14,12,20,Neutral,Stealth|Religion|Insight|Deception|Performance|Persuasion,"Crossbow, light|Dagger|Beardaruge (+1 Club)|Dagger Of Venom +1",,Cha,pact boon/Pact of the Chain|tiefling variants menu/Winged|eldritch invocations/Repelling Blast*Agonizing Blast,NA,NA,NN,NA,NA,,,"Crossbow, Light|Dagger||Dagger",3-Jan,sharp_tesla
0e98c10,4a2efee,c66cae42e4e76cd3f56b99ca966d77e5,29c70fee,Mountain Dwarf,Acolyte,8/28/2020 6:25,Monk 3,Monk,Way of the Open Hand,3,,24,14,19,14,15,9,15,15,,Stealth|History|Religion|Insight,Shortsword|Dart|Unarmed strike,,Int,,NA,NA,,NA,NA,Dwarf,,Shortsword|Dart|Unarmed Strike,3-Jan,festive_mestorf
61f5ed1,b6b6fd9,a2fdbfc62271eb939024c3caa5ba4947,f7a5638a,Myconid,Sage,8/21/2020 22:57,Druid 3,Druid,Circle of Spores,3,,21,13,12,14,14,10,17,8,,Arcana|History|Nature|Perception,Sling|Scimitar,Chill Touch*0|Druid Craft*0|Thorn Whip*0|Faerie Fire*1|Entangle*1|Ice Knife*1|Thunderwave *1|Blindness/Deafness*2|Gentle Repose*2|Moonbeam*2|Spike Growth*2,Wis,,United States,US,,NA,NA,,Chill Touch*0|Druidcraft*0|Thorn Whip*0|Faerie Fire*1|Entangle*1|Ice Knife*1|Thunderwave*1|Blindness/Deafness*2|Gentle Repose*2|Moonbeam*2|Spike Growth*2,Sling|Scimitar,3-Jan,heuristic_noether
fac58c5,b4aa3cc,aec130b9e31a8b5da8e9f1aec5723bf7,50e6ae8d,Tiefling,Clan Crafter,8/19/2020 0:33,Artificer 3,Artificer,Artillerist,3,,30,14,10,15,14,16,12,8,,Arcana|History|Investigation|Insight,"Greatclub|Crossbow, light|Crossbow, light",Shield*1|Thunderwave*1,Int,tiefling variants menu/Winged,United States,US,,NA,NA,Tiefling,Shield*1|Thunderwave*1,"Greatclub|Crossbow, Light|Crossbow, Light",3-Jan,zen_cartwright
b0eb68f,7da127e,6ebf99b9575478a67f98555b101c67bd,46bdc139,Fallen Aasimar,Haunted One,8/16/2020 13:41,Warlock 3,Warlock,The Hexblade,3,,24,13,10,14,12,11,11,17,,Investigation|Religion|Deception|Intimidation,Handaxe|Handaxe|Dagger|Pact Blade,Green Flame Blade*0|Eldrich Blast*0|Mage Hand*0|Light*0|Mage Armour*0|Magic Stone*0|Shield*1|Wrathful Smite*1|Blur*2|Branding Smite*2,Cha,pact boon/Pact of the Blade|eldritch invocations/Armor of Shadows*Improved Pact Weapon,United Kingdom,GB,,NA,NA,Aasimar,Green-Flame Blade*0|Eldritch Blast*0|Mage Hand*0|Light*0|*|Magic Stone*0|Shield*1|Wrathful Smite*1|Blur*2|Branding Smite*2,Handaxe|Handaxe|Dagger|,3-Jan,suspicious_darwin
052740e,d7b19c6,5e4f49db7220ad23c5bbcb55b0176b7b,9874362a,Detection,Noble,8/15/2020 14:20,Bard 3,Bard,College of Whispers,3,,17,14,6,14,12,13,15,16,,Acrobatics|Arcana|History|Performance|Persuasion,Rapier|Dagger,Vicious Mockery*0|Prestidigitation*0|Thunderwave*1|Disguise Self*1|Dissonant Whispers*1|Unseen Servant*1|Phantasmal Force*2|Heat Metal*2,Cha,expertise/Persuasion*Performance,Belgium,BE,,NA,NA,Half-Elf,Vicious Mockery*0|Prestidigitation*0|Thunderwave*1|Disguise Self*1|Dissonant Whispers*1|Unseen Servant*1|Phantasmal Force*2|Heat Metal*2,Rapier|Dagger,3-Jan,sad_williams
1288517,adbaaeb,44c6af99ee6c7451da74b33f49df91fa,6b0f83b2,Wood Elf,Outlander,8/14/2020 2:43,Ranger 3,Ranger,Hunter,3,,25,13,12,16,13,10,16,8,,Athletics|Stealth|Investigation|Insight|Perception|Survival,Shortsword|Longbow,Hunter's Mark*1|Cure Wounds*1|Ensnaring Strike*1,Wis,fighting style/Archery,United States,US,,NA,NA,Elf,Hunter's Mark*1|Cure Wounds*1|Ensnaring Strike*1,Shortsword|Longbow,3-Jan,hopeful_varahamihira
22c6a4e,4efa8dc,e0563ac97d5c351c7bdf41babf7a4fb1,9dbf54f6,Minotaur,Guild Artisan,8/12/2020 0:58,Artificer 3,Artificer,Battle Smith,3,,27,13,16,13,13,15,10,8,,Arcana|Insight|Perception|Persuasion,"Greatclub|Mace|Crossbow, light",Heroism*1|Shield*1,Int,,United States,US,,NA,NA,Minotaur,Heroism*1|Shield*1,"Greatclub|Mace|Crossbow, Light",3-Jan,hopeful_easley
22fd9a6,895309d,bc22018403698843e0f40ea6a2fb41f6,1bcaf9db,Warforged,Knight,8/6/2020 8:29,Artificer 3,Artificer,Artillerist,3,,30,16,14,12,18,14,12,11,LN,Arcana|History|Insight|Medicine|Persuasion,"Greatclub|Dagger|Crossbow, light|Crossbow, light",Fire Bolt *0|Mage Hand *0|Cure Wounds*1|Arcane Weapon*1|Jump*1|Shield*1|Thunderwave*1,Int,,NA,NA,LN,NA,NA,Warforged,Fire Bolt*0|Mage Hand*0|Cure Wounds*1|*|Jump*1|Shield*1|Thunderwave*1,"Greatclub|Dagger|Crossbow, Light|Crossbow, Light",3-Jan,jolly_mccarthy
f34253f,ffcf919,63acc6498d13af740a150c18e7ee8773,532057c6,Hunt,Urban Bounty Hunter,8/5/2020 0:24,Artificer 3,Artificer,Artillerist,3,,27,15,12,16,13,14,12,8,,Stealth|Arcana|Perception|Survival|Deception,"Greatclub|Mace|Crossbow, light",Shield*1|Thunderwave*1,Int,,United States,US,,NA,NA,Shifter,Shield*1|Thunderwave*1,"Greatclub|Mace|Crossbow, Light",3-Jan,bold_burnell
addaf46,9944741,5e0d9446e32e54894172b82399bcd8cf,dd7d3b6e,Lizardfolk,Acolyte,8/2/2020 16:49,Fighter 3,Fighter,Champion,3,,28,16,11,11,15,11,13,11,,Athletics|Acrobatics|Stealth|Religion|Insight|Perception,Scimitar|Handaxe,,Int,fighting style/Dueling,NA,NA,,NA,NA,Lizardfolk,,Scimitar|Handaxe,3-Jan,hopeful_euclid
addaf46,9944741,0cb7af73995042d25ec088008895e8a5,3b122390,Protector Aasimar,Acolyte,8/2/2020 16:48,Barbarian 3,Barbarian,Path of the Battlerager,3,,32,14,15,14,14,10,11,10,,Nature|Religion|Insight|Perception,Greatsword|Handaxe|Javelin,,Int,,NA,NA,,NA,NA,Aasimar,,Greatsword|Handaxe|Javelin,3-Jan,priceless_wilson
ff4c6b0,073ff4a,a50b214cb9547f858fa0a91398b88787,ebaada7b,Human,Far Traveler,7/28/2020 7:47,Sorcerer 3,Sorcerer,Wild Magic,3,,17,12,14,15,13,9,11,16,,Insight|Perception|Deception|Intimidation,"Crossbow, light|Club",Dancing Lights*0|Frost Bite*0|Ray Of Frost*0|Shape Water*0|Burning Hands*1|Colour Spray*1|Ice Knife*1|Mage Armour*1|Shatter*2,Cha,metamagic/Quickened Spell*Empowered Spell,New Zealand,NZ,,NA,NA,Human,Dancing Lights*0|Frostbite*0|Ray of Frost*0|Shape Water*0|Burning Hands*1|Color Spray*1|Ice Knife*1|Mage Armor*1|Shatter*2,"Crossbow, Light|Club",3-Jan,clever_solomon
907eed5,91baa00,dffb8c694e61c0d9d649b4b3c18ae9e2,c19c595c,Warforged,Cloistered Scholar,7/26/2020 17:28,Artificer 3,Artificer,Artillerist,3,,27,15,10,14,16,16,10,8,,Arcana|History|Investigation|Medicine|Perception,"Crossbow, light|Spear|Crossbow, light",Mending*0|Shield*1|Thunderwave*1,Int,,United Kingdom,GB,,NA,NA,Warforged,Mending*0|Shield*1|Thunderwave*1,"Crossbow, Light|Spear|Crossbow, Light",3-Jan,quirky_ganguly
b8ece8f,e04c415,ffb2e9fb203d1fc1f1ef4e70c163a324,3faa8436,Hill Dwarf,Far Traveler,7/25/2020 18:15,Cleric 3,Cleric,Tempest Domain,3,,32,18,15,12,17,13,16,11,,Religion|Insight|Perception|Survival,Warhammer|Sacred Flame,Sacred Flame*0|Guidance*0|Mending*0|Thunderwave*1|Clear Wounds*1|Create Or Destroy Water*1|Fog Cloud*1|Command*1|Detect Magic*1|Gust of Wind*2|Shatter*2|Zone Of Truth*2|Lesser Restoration*2,Wis,,Poland,PL,,NA,NA,Dwarf,Sacred Flame*0|Guidance*0|Mending*0|Thunderwave*1|Cure Wounds*1|Create or Destroy Water*1|Fog Cloud*1|Command*1|Detect Magic*1|Gust of Wind*2|Shatter*2|Zone of Truth*2|Lesser Restoration*2,Warhammer|,3-Jan,jovial_perlman
bfe5c37,f0278d3,b0636fe8e6774b514dd94a6236f31024,81ef28a4,Mountain Dwarf,Urban Bounty Hunter,7/23/2020 13:49,Wizard 3,Wizard,School of Abjuration,3,,20,14,14,12,14,13,13,13,,Stealth|Investigation|Insight|Deception,Quarterstaff,,Int,,Netherlands,NL,,NA,NA,Dwarf,,Quarterstaff,3-Jan,keen_lederberg
bfe5c37,f0278d3,61e9b68bddd3af6c06f0fca3977a251d,b032bc81,Mountain Dwarf,Hermit,7/23/2020 13:29,Cleric 3,Cleric,Life Domain,3,,24,17,15,12,15,13,13,11,,History|Religion|Insight|Medicine,Warhammer|Dagger,Bless*1|Cure Wounds*1|Lesser Restoration*2|Spiritual Weapon*2,Wis,,Netherlands,NL,,NA,NA,Dwarf,Bless*1|Cure Wounds*1|Lesser Restoration*2|Spiritual Weapon*2,Warhammer|Dagger,3-Jan,silly_williamson
bfe5c37,f0278d3,7fa7cda42ed45aa9721d7921484af73f,285d8337,Mountain Dwarf,Barbarian Tribe Member,7/23/2020 13:10,Barbarian 3,Barbarian,Path of the Ancestral Guardian,3,,32,14,16,13,15,12,11,11,,Athletics|Perception|Survival|Intimidation,Greataxe|Handaxe|Javelin,,Int,,Netherlands,NL,,NA,NA,Dwarf,,Greataxe|Handaxe|Javelin,3-Jan,mystifying_banzai
ea59083,38e6d49,0d06a31ecd6d0d1dd990b272ce89f28b,eb11436e,Elephantine,Hermit,7/23/2020 0:05,Wizard 3,Wizard,School of Divination,3,,23,15,14,10,17,16,16,8,,Arcana|Religion|Insight|Medicine,Quarterstaff,,Int,,Canada,CA,,NA,NA,Loxodon,,Quarterstaff,3-Jan,loving_keldysh
71f9021,39b942b,dca8a645821683527a547770e2202c7e,84f8dfa1,Fire Genasi,Sailor,7/19/2020 20:29,Rogue 3,Rogue,Swashbuckler,3,,16,16,15,15,13,14,15,16,,Athletics|Perception|Deception|Intimidation|Performance|Persuasion,Shortsword|Shortsword|Dagger,,Int,expertise/Thieves' Tools*Persuasion,United States,US,,NA,NA,Genasi,,Shortsword|Shortsword|Dagger,3-Jan,goofy_mirzakhani
7562ca2,18cd36f,5b29343c0df9b1d8e7d57f796e75f292,9d6fb2a2,Human,Acolyte,7/14/2020 23:05,Barbarian 3,Barbarian,Path of the Zealot,3,Great Weapon Master,35,13,16,10,16,8,14,8,,Athletics|Religion|Insight|Perception|Intimidation,Greataxe|Handaxe|Javelin,,Int,,United States,US,,NA,NA,Human,,Greataxe|Handaxe|Javelin,3-Jan,crazy_ellis
1819db7,f4a1acc,a2d9a64a599aaaea1a88ff99e5ac1e51,b8009129,Human,Bounty Hunter,7/13/2020 8:11,Fighter 3,Fighter,Battle Master,3,,10,17,16,16,14,14,16,10,Neutral Evil,,Longsword|Longbow|Lance|Shatterspike,Light*0|Blade Ward*0|Mage Hand*0,Int,fighting style/Dueling|combat superiority maneuvers/Trip Attack*Riposte,New Zealand,NZ,NE,NA,NA,Human,Light*0|Blade Ward*0|Mage Hand*0,Longsword|Longbow|Lance|Pike,3-Jan,keen_lovelace
,d374e1a,cb94eb43fe654e726eafc90eb0665288,95d7a9e3,Goliath,Outlander,7/5/2020 16:20,Fighter 3,Fighter,Champion,3,,31,19,17,10,16,10,12,9,Neutral,Athletics|Acrobatics|Perception|Survival,Longsword,,Int,fighting style/Defense,Canada,CA,NN,NA,NA,Goliath,,Longsword,3-Jan,sleepy_sutherland
65ad379,79700ee,f0f749cea5f4bdba822e910b178478c8,22adfb55,Human,Hermit,7/5/2020 11:57,Monk 3,Monk,Way of the Open Hand,3,,15,14,15,13,11,9,16,14,,Stealth|History|Religion|Medicine,Quarterstaff|Dart|Unarmed strike,,Int,,Sweden,SE,,NA,NA,Human,,Quarterstaff|Dart|Unarmed Strike,3-Jan,gracious_panini
d8b6933,09658c7,85512621c71ada989b1c8831e9ed6a9b,ed355fdc,Lineage - Fier,Far Traveler,7/4/2020 21:28,Druid 3,Druid,Circle of the Moon,3,,24,14,10,12,14,13,16,10,,Nature|Animal Handling|Insight|Perception,Scimitar,,Wis,,Brazil,BR,,NA,NA,Tiefling,,Scimitar,3-Jan,pensive_napier
f7b91a7,610b079,4ee0530fd087bdde287f3df42df87735,6cacfc95,Triton,Fisher,7/4/2020 21:21,Fighter 3,Fighter,Champion,3,,28,16,16,13,14,11,10,12,,Athletics|History|Survival|Intimidation,Morningstar|Trident,,Int,fighting style/Dueling,United States,US,,NA,NA,Triton,,Morningstar|Trident,3-Jan,keen_villani
d2d9c18,2500aae,46be0aa7bf030422996d96bde5e1f18e,c09f61b7,Human,Sage,7/4/2020 20:31,Druid 3,Druid,Circle of the Land,3,,22,13,8,8,14,16,16,12,N/NG,Arcana|History|Nature|Medicine,Quarterstaff,Guidance*0|Mending*0|Produce Flame*0|Create or Destroy Water*1|Cure Wounds*1|Goodberry*1|Longstrider*1|Blur*2|Silence*2|Barkskin*2|Locate Animals or Plants*2,Wis,,Germany,DE,,NA,NA,Human,Guidance*0|Mending*0|Produce Flame*0|Create or Destroy Water*1|Cure Wounds*1|Goodberry*1|Longstrider*1|Blur*2|Silence*2|Barkskin*2|Locate Animals or Plants*2,Quarterstaff,3-Jan,suspicious_maxwell
60669fa,e721916,3f7d83049393234c9454ff82df75de7e,366675fc,Forest Gnome,Far Traveler,7/2/2020 19:43,Rogue 3,Rogue,Scout,3,,20,14,12,17,13,17,13,14,,Sleight of Hand|Stealth|Investigation|Nature|Insight|Perception|Survival|Deception,Shortsword|Shortbow|Dagger,,Int,expertise/Thieves' Tools*Stealth,NA,NA,,NA,NA,Gnome,,Shortsword|Shortbow|Dagger,3-Jan,zen_noyce
60669fa,e721916,c937c1b111e018ccc29b27739387f317,ecca39da,Hill Dwarf,Barbarian Tribe Member,7/2/2020 19:40,Barbarian 3,Barbarian,Path of the Berserker,3,,39,16,17,15,18,10,10,11,,Athletics|Nature|Perception|Survival,Greataxe|Handaxe|Javelin|Maul,,Int,,NA,NA,,NA,NA,Dwarf,,Greataxe|Handaxe|Javelin|Maul,3-Jan,reverent_merkle
,c126b08,c128f834328172528ee92de8709d8d69,5e239b66,Human,Soldier,7/2/2020 1:17,Paladin 3,Paladin,Oath of Conquest,3,,28,18,15,11,14,12,13,13,,Athletics|Religion|Insight|Intimidation,Longsword|Javelin,Armor of Frost*1|Command*1,Cha,fighting style/Dueling,Canada,CA,,NA,NA,Human,*|Command*1,Longsword|Javelin,3-Jan,amazing_neumann
f79cf59,c3e3bba,d60fa53bb4a3c6427e09da03dba879cc,ae843139,Human,Cloistered Scholar,7/2/2020 0:02,Bard 3,Bard,College of Glamour,3,Magic Initiate,24,14,7,16,14,12,16,16,,Arcana|History|Religion|Deception|Intimidation|Performance,"Crossbow, light|Dagger",Guidance*0|Tipo The Dead(Wis)*0|Minor Illusion*0|Light*0|Divine Favor*1|Tasha's Hideous Laugther*1|Healing Word*1|Cure Wounds*1|Sleep*1|Phantasmal Force*2|Cloud Of Daggers*2,Cha,expertise/Performance*Intimidation,Brazil,BR,,NA,NA,Human,Guidance*0|Toll the Dead*0|Minor Illusion*0|Light*0|Divine Favor*1|Tasha's Hideous Laughter*1|Healing Word*1|Cure Wounds*1|Sleep*1|Phantasmal Force*2|Cloud of Daggers*2,"Crossbow, Light|Dagger",3-Jan,laughing_bhabha
f79cf59,c3e3bba,ed5d97773444d6d5e005499c0a092a5a,8d4bb96b,Human,Acolyte,7/2/2020 0:00,Monk 3,Monk,Way of the Long Death,3,,24,16,11,17,14,13,16,10,,Athletics|History|Religion|Insight,Quarterstaff|Dart|Unarmed strike,,Int,,Brazil,BR,,NA,NA,Human,,Quarterstaff|Dart|Unarmed Strike,3-Jan,gracious_neumann
